工号,日期,项目,金额,部门,是否已结清,备注
100360,2026-12-01,交通费,494.20,财务部,是,北京差旅费报销（第360笔）
100361,2026-01-08,交通费,495.57,市场部,否,北京通讯费报销（第361笔）
100362,2026-02-15,通讯费,496.94,市场部,否,上海差旅费报销（第362笔）
100363,2026-03-22,快递费,498.31,技术部,是,成都维修费报销（第363笔）
100364,2026-04-01,维修费,499.68,技术部,否,成都快递费报销（第364笔）
100365,2026-05-08,交通费,501.05,市场部,否,上海办公用品报销（第365笔）
100366,2026-06-15,差旅费,502.42,技术部,是,武汉培训费报销（第366笔）
100367,2026-07-22,培训费,503.79,销售部,否,深圳培训费报销（第367笔）
100368,2026-08-01,差旅费,505.16,市场部,否,武汉快递费报销（第368笔）
100369,2026-09-08,培训费,506.53,市场部,是,杭州差旅费报销（第369笔）
100370,2026-10-15,通讯费,507.90,技术部,否,成都差旅费报销（第370笔）
100371,2026-11-22,培训费,509.27,销售部,否,武汉招待费报销（第371笔）
100372,2026-12-01,差旅费,510.64,技术部,是,武汉交通费报销（第372笔）
100373,2026-01-08,维修费,512.01,市场部,否,武汉招待费报销（第373笔）
100374,2026-02-15,办公用品,513.38,行政部,否,北京办公用品报销（第374笔）
100375,2026-03-22,交通费,514.75,市场部,是,深圳招待费报销（第375笔）
100376,2026-04-01,办公用品,516.12,销售部,否,深圳培训费报销（第376笔）
100377,2026-05-08,招待费,517.49,行政部,否,西安差旅费报销（第377笔）
100378,2026-06-15,差旅费,518.86,行政部,是,武汉差旅费报销（第378笔）
100379,2026-07-22,办公用品,520.23,销售部,否,上海办公用品报销（第379笔）
100380,2026-08-01,快递费,521.60,行政部,否,杭州招待费报销（第380笔）
100381,2026-09-08,交通费,522.97,技术部,是,武汉培训费报销（第381笔）
100382,2026-10-15,维修费,524.34,销售部,否,北京招待费报销（第382笔）
100383,2026-11-22,办公用品,525.71,技术部,否,武汉培训费报销（第383笔）
100384,2026-12-01,快递费,527.08,销售部,是,上海培训费报销（第384笔）
100385,2026-01-08,办公用品,528.45,财务部,否,深圳交通费报销（第385笔）
100386,2026-02-15,培训费,529.82,销售部,否,西安维修费报销（第386笔）
100387,2026-03-22,通讯费,531.19,销售部,是,杭州办公用品报销（第387笔）
100388,2026-04-01,办公用品,532.56,销售部,否,杭州差旅费报销（第388笔）
100389,2026-05-08,差旅费,533.93,行政部,否,成都差旅费报销（第389笔）
100390,2026-06-15,通讯费,535.30,销售部,是,上海招待费报销（第390笔）
100391,2026-07-22,快递费,536.67,行政部,否,上海交通费报销（第391笔）
100392,2026-08-01,差旅费,538.04,技术部,否,杭州快递费报销（第392笔）
100393,2026-09-08,交通费,539.41,销售部,是,西安招待费报销（第393笔）
100394,2026-10-15,招待费,540.78,行政部,否,西安招待费报销（第394笔）
100395,2026-11-22,维修费,542.15,市场部,否,西安办公用品报销（第395笔）
100396,2026-12-01,交通费,543.52,财务部,是,武汉快递费报销（第396笔）
100397,2026-01-08,培训费,544.89,销售部,否,北京招待费报销（第397笔）
100398,2026-02-15,交通费,546.26,行政部,否,上海通讯费报销（第398笔）
100399,2026-03-22,办公用品,547.63,行政部,是,成都培训费报销（第399笔）
100400,2026-04-01,通讯费,549.00,财务部,否,
100401,2026-05-08,招待费,550.37,财务部,否,北京招待费报销（第401笔）
100402,2026-06-15,招待费,551.74,财务部,是,杭州办公用品报销（第402笔）
100403,2026-07-22,快递费,553.11,市场部,否,杭州快递费报销（第403笔）
100404,2026-08-01,通讯费,554.48,技术部,否,杭州培训费报销（第404笔）
100405,2026-09-08,快递费,555.85,财务部,是,成都交通费报销（第405笔）
100406,2026-10-15,维修费,557.22,行政部,否,北京差旅费报销（第406笔）
100407,2026-11-22,维修费,558.59,销售部,否,西安培训费报销（第407笔）
100408,2026-12-01,培训费,559.96,市场部,是,北京办公用品报销（第408笔）
100409,2026-01-08,交通费,561.33,销售部,否,西安培训费报销（第409笔）
100410,2026-02-15,差旅费,562.70,财务部,否,北京快递费报销（第410笔）
100411,2026-03-22,办公用品,564.07,市场部,是,武汉招待费报销（第411笔）
100412,2026-04-01,快递费,565.44,市场部,否,杭州通讯费报销（第412笔）
100413,2026-05-08,快递费,566.81,销售部,否,武汉交通费报销（第413笔）
100414,2026-06-15,培训费,568.18,行政部,是,深圳招待费报销（第414笔）
100415,2026-07-22,培训费,569.55,财务部,否,上海招待费报销（第415笔）
100416,2026-08-01,办公用品,570.92,销售部,否,成都招待费报销（第416笔）
100417,2026-09-08,招待费,572.29,销售部,是,深圳办公用品报销（第417笔）
100418,2026-10-15,差旅费,573.66,销售部,否,杭州招待费报销（第418笔）
100419,2026-11-22,招待费,575.03,财务部,否,西安快递费报销（第419笔）
100420,2026-12-01,办公用品,576.40,财务部,是,上海培训费报销（第420笔）
100421,2026-01-08,培训费,577.77,技术部,否,上海办公用品报销（第421笔）
100422,2026-02-15,招待费,579.14,财务部,否,武汉维修费报销（第422笔）
100423,2026-03-22,维修费,580.51,技术部,是,深圳快递费报销（第423笔）
100424,2026-04-01,交通费,581.88,财务部,否,杭州办公用品报销（第424笔）
100425,2026-05-08,培训费,583.25,财务部,否,成都通讯费报销（第425笔）
100426,2026-06-15,快递费,584.62,销售部,是,杭州招待费报销（第426笔）
100427,2026-07-22,差旅费,585.99,技术部,否,武汉交通费报销（第427笔）
100428,2026-08-01,交通费,587.36,财务部,否,北京通讯费报销（第428笔）
100429,2026-09-08,培训费,588.73,市场部,是,武汉快递费报销（第429笔）
100430,2026-10-15,交通费,590.10,销售部,否,北京招待费报销（第430笔）
100431,2026-11-22,交通费,591.47,财务部,否,杭州快递费报销（第431笔）
100432,2026-12-01,通讯费,592.84,技术部,是,深圳维修费报销（第432笔）
100433,2026-01-08,快递费,594.21,财务部,否,武汉通讯费报销（第433笔）
100434,2026-02-15,快递费,595.58,财务部,否,西安招待费报销（第434笔）
100435,2026-03-22,维修费,596.95,销售部,是,杭州快递费报销（第435笔）
100436,2026-04-01,培训费,598.32,财务部,否,武汉办公用品报销（第436笔）
100437,2026-05-08,办公用品,599.69,销售部,否,武汉培训费报销（第437笔）
100438,2026-06-15,差旅费,601.06,财务部,是,上海办公用品报销（第438笔）
100439,2026-07-22,交通费,602.43,行政部,否,北京招待费报销（第439笔）
100440,2026-08-01,维修费,603.80,财务部,否,武汉维修费报销（第440笔）
100441,2026-09-08,招待费,605.17,市场部,是,杭州招待费报销（第441笔）
100442,2026-10-15,维修费,606.54,行政部,否,上海招待费报销（第442笔）
100443,2026-11-22,维修费,607.91,技术部,否,杭州快递费报销（第443笔）
100444,2026-12-01,通讯费,609.28,财务部,是,杭州交通费报销（第444笔）
100445,2026-01-08,快递费,610.65,销售部,否,深圳维修费报销（第445笔）
100446,2026-02-15,交通费,612.02,技术部,否,上海招待费报销（第446笔）
100447,2026-03-22,通讯费,613.39,市场部,是,杭州通讯费报销（第447笔）
100448,2026-04-01,维修费,614.76,技术部,否,杭州交通费报销（第448笔）
100449,2026-05-08,培训费,616.13,销售部,否,西安培训费报销（第449笔）
100450,2026-06-15,维修费,617.50,财务部,是,
100451,2026-07-22,办公用品,618.87,财务部,否,北京招待费报销（第451笔）
100452,2026-08-01,快递费,620.24,行政部,否,成都交通费报销（第452笔）
100453,2026-09-08,办公用品,621.61,市场部,是,杭州维修费报销（第453笔）
100454,2026-10-15,快递费,622.98,技术部,否,西安维修费报销（第454笔）
100455,2026-11-22,通讯费,624.35,技术部,否,成都交通费报销（第455笔）
100456,2026-12-01,差旅费,625.72,行政部,是,深圳招待费报销（第456笔）
100457,2026-01-08,快递费,627.09,市场部,否,成都通讯费报销（第457笔）
100458,2026-02-15,交通费,628.46,财务部,否,深圳交通费报销（第458笔）
100459,2026-03-22,通讯费,629.83,技术部,是,西安交通费报销（第459笔）
100460,2026-04-01,招待费,631.20,技术部,否,杭州通讯费报销（第460笔）
100461,2026-05-08,通讯费,632.57,技术部,否,上海交通费报销（第461笔）
100462,2026-06-15,办公用品,633.94,技术部,是,北京快递费报销（第462笔）
100463,2026-07-22,维修费,635.31,市场部,否,西安快递费报销（第463笔）
100464,2026-08-01,快递费,636.68,销售部,否,武汉维修费报销（第464笔）
100465,2026-09-08,招待费,638.05,行政部,是,北京招待费报销（第465笔）
100466,2026-10-15,招待费,639.42,技术部,否,北京培训费报销（第466笔）
100467,2026-11-22,通讯费,640.79,财务部,否,武汉办公用品报销（第467笔）
100468,2026-12-01,维修费,642.16,行政部,是,深圳招待费报销（第468笔）
100469,2026-01-08,办公用品,643.53,财务部,否,深圳招待费报销（第469笔）
100470,2026-02-15,招待费,644.90,销售部,否,上海交通费报销（第470笔）
100471,2026-03-22,培训费,646.27,销售部,是,成都交通费报销（第471笔）
100472,2026-04-01,维修费,647.64,行政部,否,成都交通费报销（第472笔）
100473,2026-05-08,差旅费,649.01,销售部,否,西安交通费报销（第473笔）
100474,2026-06-15,办公用品,650.38,财务部,是,杭州通讯费报销（第474笔）
100475,2026-07-22,培训费,651.75,行政部,否,上海快递费报销（第475笔）
100476,2026-08-01,交通费,653.12,财务部,否,杭州差旅费报销（第476笔）
100477,2026-09-08,快递费,654.49,销售部,是,杭州交通费报销（第477笔）
100478,2026-10-15,快递费,655.86,技术部,否,深圳差旅费报销（第478笔）
100479,2026-11-22,差旅费,657.23,销售部,否,杭州办公用品报销（第479笔）
100480,2026-12-01,通讯费,658.60,财务部,是,杭州快递费报销（第480笔）
100481,2026-01-08,通讯费,659.97,市场部,否,成都差旅费报销（第481笔）
100482,2026-02-15,办公用品,661.34,销售部,否,深圳招待费报销（第482笔）
100483,2026-03-22,维修费,662.71,行政部,是,北京维修费报销（第483笔）
100484,2026-04-01,交通费,664.08,技术部,否,上海快递费报销（第484笔）
100485,2026-05-08,维修费,665.45,市场部,否,武汉快递费报销（第485笔）
100486,2026-06-15,办公用品,666.82,财务部,是,上海交通费报销（第486笔）
100487,2026-07-22,通讯费,668.19,行政部,否,北京差旅费报销（第487笔）
100488,2026-08-01,差旅费,669.56,财务部,否,武汉维修费报销（第488笔）
100489,2026-09-08,交通费,670.93,销售部,是,武汉差旅费报销（第489笔）
100490,2026-10-15,交通费,672.30,行政部,否,北京培训费报销（第490笔）
100491,2026-11-22,办公用品,673.67,销售部,否,武汉培训费报销（第491笔）
100492,2026-12-01,差旅费,675.04,技术部,是,北京差旅费报销（第492笔）
100493,2026-01-08,交通费,676.41,行政部,否,上海办公用品报销（第493笔）
100494,2026-02-15,交通费,677.78,技术部,否,上海通讯费报销（第494笔）
100495,2026-03-22,办公用品,679.15,行政部,是,上海差旅费报销（第495笔）
100496,2026-04-01,培训费,680.52,财务部,否,武汉差旅费报销（第496笔）
100497,2026-05-08,招待费,681.89,销售部,否,北京差旅费报销（第497笔）
100498,2026-06-15,招待费,683.26,销售部,是,深圳维修费报销（第498笔）
100499,2026-07-22,差旅费,684.63,财务部,否,西安交通费报销（第499笔）
100500,2026-08-01,快递费,686.00,销售部,否,
100501,2026-09-08,交通费,687.37,行政部,是,北京招待费报销（第501笔）
100502,2026-10-15,招待费,688.74,销售部,否,北京差旅费报销（第502笔）
100503,2026-11-22,维修费,690.11,销售部,否,武汉办公用品报销（第503笔）
100504,2026-12-01,办公用品,691.48,行政部,是,武汉维修费报销（第504笔）
100505,2026-01-08,通讯费,692.85,财务部,否,武汉交通费报销（第505笔）
100506,2026-02-15,办公用品,694.22,财务部,否,上海交通费报销（第506笔）
100507,2026-03-22,办公用品,695.59,技术部,是,杭州交通费报销（第507笔）
100508,2026-04-01,办公用品,696.96,行政部,否,深圳快递费报销（第508笔）
100509,2026-05-08,办公用品,698.33,技术部,否,北京培训费报销（第509笔）
100510,2026-06-15,招待费,699.70,财务部,是,深圳办公用品报销（第510笔）
100511,2026-07-22,快递费,701.07,销售部,否,武汉快递费报销（第511笔）
100512,2026-08-01,培训费,702.44,销售部,否,西安维修费报销（第512笔）
100513,2026-09-08,差旅费,703.81,市场部,是,西安快递费报销（第513笔）
100514,2026-10-15,通讯费,705.18,行政部,否,深圳培训费报销（第514笔）
100515,2026-11-22,招待费,706.55,市场部,否,北京办公用品报销（第515笔）
100516,2026-12-01,培训费,707.92,市场部,是,上海交通费报销（第516笔）
100517,2026-01-08,差旅费,709.29,行政部,否,武汉差旅费报销（第517笔）
100518,2026-02-15,办公用品,710.66,市场部,否,成都差旅费报销（第518笔）
100519,2026-03-22,招待费,712.03,销售部,是,西安维修费报销（第519笔）
100520,2026-04-01,招待费,713.40,技术部,否,武汉招待费报销（第520笔）
100521,2026-05-08,招待费,714.77,行政部,否,杭州维修费报销（第521笔）
100522,2026-06-15,差旅费,716.14,技术部,是,北京交通费报销（第522笔）
100523,2026-07-22,培训费,717.51,行政部,否,成都办公用品报销（第523笔）
100524,2026-08-01,维修费,718.88,技术部,否,深圳差旅费报销（第524笔）
100525,2026-09-08,快递费,720.25,技术部,是,武汉交通费报销（第525笔）
100526,2026-10-15,差旅费,721.62,技术部,否,武汉差旅费报销（第526笔）
100527,2026-11-22,通讯费,722.99,销售部,否,成都差旅费报销（第527笔）
100528,2026-12-01,交通费,724.36,销售部,是,上海快递费报销（第528笔）
100529,2026-01-08,招待费,725.73,技术部,否,武汉招待费报销（第529笔）
100530,2026-02-15,维修费,727.10,技术部,否,西安办公用品报销（第530笔）
100531,2026-03-22,快递费,728.47,技术部,是,武汉维修费报销（第531笔）
100532,2026-04-01,交通费,729.84,财务部,否,武汉培训费报销（第532笔）
100533,2026-05-08,差旅费,731.21,市场部,否,武汉办公用品报销（第533笔）
100534,2026-06-15,通讯费,732.58,销售部,是,深圳快递费报销（第534笔）
100535,2026-07-22,通讯费,733.95,财务部,否,武汉通讯费报销（第535笔）
100536,2026-08-01,交通费,735.32,财务部,否,北京差旅费报销（第536笔）
100537,2026-09-08,差旅费,736.69,市场部,是,成都快递费报销（第537笔）
100538,2026-10-15,交通费,738.06,技术部,否,成都通讯费报销（第538笔）
100539,2026-11-22,维修费,739.43,财务部,否,杭州维修费报销（第539笔）
100540,2026-12-01,维修费,740.80,行政部,是,成都交通费报销（第540笔）
100541,2026-01-08,差旅费,742.17,财务部,否,上海交通费报销（第541笔）
100542,2026-02-15,办公用品,743.54,市场部,否,成都快递费报销（第542笔）
100543,2026-03-22,差旅费,744.91,市场部,是,武汉维修费报销（第543笔）
100544,2026-04-01,通讯费,746.28,销售部,否,深圳维修费报销（第544笔）
100545,2026-05-08,快递费,747.65,销售部,否,杭州培训费报销（第545笔）
100546,2026-06-15,培训费,749.02,行政部,是,武汉通讯费报销（第546笔）
100547,2026-07-22,差旅费,750.39,市场部,否,北京招待费报销（第547笔）
100548,2026-08-01,维修费,751.76,技术部,否,上海通讯费报销（第548笔）
100549,2026-09-08,办公用品,753.13,销售部,是,武汉维修费报销（第549笔）
100550,2026-10-15,维修费,754.50,市场部,否,
100551,2026-11-22,通讯费,755.87,市场部,否,成都招待费报销（第551笔）
100552,2026-12-01,交通费,757.24,技术部,是,杭州办公用品报销（第552笔）
100553,2026-01-08,交通费,758.61,市场部,否,西安培训费报销（第553笔）
100554,2026-02-15,培训费,759.98,销售部,否,武汉通讯费报销（第554笔）
100555,2026-03-22,培训费,761.35,财务部,是,深圳快递费报销（第555笔）
100556,2026-04-01,快递费,762.72,市场部,否,杭州差旅费报销（第556笔）
100557,2026-05-08,交通费,764.09,销售部,否,深圳差旅费报销（第557笔）
100558,2026-06-15,招待费,765.46,技术部,是,武汉培训费报销（第558笔）
100559,2026-07-22,快递费,766.83,行政部,否,成都办公用品报销（第559笔）
100560,2026-08-01,办公用品,768.20,销售部,否,深圳维修费报销（第560笔）
100561,2026-09-08,差旅费,769.57,行政部,是,武汉快递费报销（第561笔）
100562,2026-10-15,办公用品,770.94,市场部,否,武汉交通费报销（第562笔）
100563,2026-11-22,交通费,772.31,行政部,否,上海办公用品报销（第563笔）
100564,2026-12-01,交通费,773.68,销售部,是,深圳招待费报销（第564笔）
100565,2026-01-08,培训费,775.05,行政部,否,上海办公用品报销（第565笔）
100566,2026-02-15,招待费,776.42,市场部,否,上海培训费报销（第566笔）
100567,2026-03-22,通讯费,777.79,财务部,是,西安招待费报销（第567笔）
100568,2026-04-01,办公用品,779.16,技术部,否,深圳交通费报销（第568笔）
100569,2026-05-08,维修费,780.53,财务部,否,深圳办公用品报销（第569笔）
100570,2026-06-15,办公用品,781.90,销售部,是,上海招待费报销（第570笔）
100571,2026-07-22,招待费,783.27,市场部,否,上海差旅费报销（第571笔）
100572,2026-08-01,招待费,784.64,财务部,否,北京维修费报销（第572笔）
100573,2026-09-08,招待费,786.01,市场部,是,北京交通费报销（第573笔）
100574,2026-10-15,培训费,787.38,技术部,否,上海差旅费报销（第574笔）
100575,2026-11-22,差旅费,788.75,市场部,否,武汉招待费报销（第575笔）
100576,2026-12-01,招待费,790.12,行政部,是,深圳招待费报销（第576笔）
100577,2026-01-08,交通费,791.49,技术部,否,杭州快递费报销（第577笔）
100578,2026-02-15,差旅费,792.86,销售部,否,西安通讯费报销（第578笔）
100579,2026-03-22,快递费,794.23,技术部,是,成都培训费报销（第579笔）
100580,2026-04-01,培训费,795.60,技术部,否,成都培训费报销（第580笔）
100581,2026-05-08,快递费,796.97,市场部,否,北京交通费报销（第581笔）
100582,2026-06-15,交通费,798.34,行政部,是,成都通讯费报销（第582笔）
100583,2026-07-22,办公用品,799.71,技术部,否,杭州快递费报销（第583笔）
100584,2026-08-01,交通费,801.08,技术部,否,武汉招待费报销（第584笔）
100585,2026-09-08,通讯费,802.45,财务部,是,深圳快递费报销（第585笔）
100586,2026-10-15,差旅费,803.82,财务部,否,深圳交通费报销（第586笔）
100587,2026-11-22,交通费,805.19,市场部,否,北京差旅费报销（第587笔）
100588,2026-12-01,差旅费,806.56,财务部,是,北京通讯费报销（第588笔）
100589,2026-01-08,差旅费,807.93,行政部,否,上海维修费报销（第589笔）
100590,2026-02-15,维修费,809.30,行政部,否,西安招待费报销（第590笔）
100591,2026-03-22,招待费,810.67,技术部,是,西安维修费报销（第591笔）
100592,2026-04-01,招待费,812.04,技术部,否,武汉通讯费报销（第592笔）
100593,2026-05-08,通讯费,813.41,销售部,否,上海快递费报销（第593笔）
100594,2026-06-15,通讯费,814.78,销售部,是,上海差旅费报销（第594笔）
100595,2026-07-22,交通费,816.15,行政部,否,武汉维修费报销（第595笔）
100596,2026-08-01,交通费,817.52,市场部,否,成都交通费报销（第596笔）
100597,2026-09-08,维修费,818.89,技术部,是,西安培训费报销（第597笔）
100598,2026-10-15,维修费,820.26,市场部,否,深圳培训费报销（第598笔）
100599,2026-11-22,培训费,821.63,技术部,否,深圳办公用品报销（第599笔）
100600,2026-12-01,快递费,823.00,市场部,是,
100601,2026-01-08,维修费,824.37,财务部,否,西安招待费报销（第601笔）
100602,2026-02-15,快递费,825.74,销售部,否,武汉交通费报销（第602笔）
100603,2026-03-22,办公用品,827.11,市场部,是,杭州办公用品报销（第603笔）
100604,2026-04-01,差旅费,828.48,行政部,否,武汉通讯费报销（第604笔）
100605,2026-05-08,办公用品,829.85,技术部,否,武汉差旅费报销（第605笔）
100606,2026-06-15,培训费,831.22,行政部,是,北京通讯费报销（第606笔）
100607,2026-07-22,通讯费,832.59,行政部,否,西安差旅费报销（第607笔）
100608,2026-08-01,招待费,833.96,行政部,否,成都培训费报销（第608笔）
100609,2026-09-08,通讯费,835.33,财务部,是,杭州办公用品报销（第609笔）
100610,2026-10-15,通讯费,836.70,销售部,否,西安招待费报销（第610笔）
100611,2026-11-22,维修费,838.07,行政部,否,西安差旅费报销（第611笔）
100612,2026-12-01,培训费,839.44,财务部,是,成都差旅费报销（第612笔）
100613,2026-01-08,维修费,840.81,财务部,否,北京交通费报销（第613笔）
100614,2026-02-15,维修费,842.18,销售部,否,深圳通讯费报销（第614笔）
100615,2026-03-22,差旅费,843.55,技术部,是,成都差旅费报销（第615笔）
100616,2026-04-01,培训费,844.92,销售部,否,北京办公用品报销（第616笔）
100617,2026-05-08,维修费,846.29,技术部,否,杭州培训费报销（第617笔）
100618,2026-06-15,招待费,847.66,行政部,是,杭州交通费报销（第618笔）
100619,2026-07-22,通讯费,849.03,行政部,否,上海通讯费报销（第619笔）
100620,2026-08-01,通讯费,850.40,市场部,否,杭州快递费报销（第620笔）
100621,2026-09-08,快递费,851.77,技术部,是,北京快递费报销（第621笔）
100622,2026-10-15,维修费,853.14,销售部,否,武汉交通费报销（第622笔）
100623,2026-11-22,办公用品,854.51,行政部,否,杭州差旅费报销（第623笔）
100624,2026-12-01,招待费,855.88,技术部,是,上海通讯费报销（第624笔）
100625,2026-01-08,维修费,857.25,销售部,否,北京通讯费报销（第625笔）
100626,2026-02-15,招待费,858.62,行政部,否,武汉培训费报销（第626笔）
100627,2026-03-22,办公用品,859.99,销售部,是,杭州交通费报销（第627笔）
100628,2026-04-01,差旅费,861.36,技术部,否,深圳招待费报销（第628笔）
100629,2026-05-08,培训费,862.73,技术部,否,上海办公用品报销（第629笔）
100630,2026-06-15,培训费,864.10,销售部,是,杭州招待费报销（第630笔）
100631,2026-07-22,维修费,865.47,技术部,否,西安维修费报销（第631笔）
100632,2026-08-01,通讯费,866.84,技术部,否,武汉维修费报销（第632笔）
100633,2026-09-08,快递费,868.21,市场部,是,北京交通费报销（第633笔）
100634,2026-10-15,快递费,869.58,技术部,否,西安办公用品报销（第634笔）
100635,2026-11-22,招待费,870.95,技术部,否,上海招待费报销（第635笔）
100636,2026-12-01,维修费,872.32,销售部,是,成都维修费报销（第636笔）
100637,2026-01-08,快递费,873.69,技术部,否,成都差旅费报销（第637笔）
100638,2026-02-15,招待费,875.06,行政部,否,武汉快递费报销（第638笔）
100639,2026-03-22,差旅费,876.43,销售部,是,上海差旅费报销（第639笔）
100640,2026-04-01,招待费,877.80,行政部,否,深圳差旅费报销（第640笔）
100641,2026-05-08,招待费,879.17,销售部,否,上海招待费报销（第641笔）
100642,2026-06-15,差旅费,880.54,销售部,是,北京快递费报销（第642笔）
100643,2026-07-22,交通费,881.91,技术部,否,北京快递费报销（第643笔）
100644,2026-08-01,办公用品,883.28,技术部,否,深圳快递费报销（第644笔）
100645,2026-09-08,培训费,884.65,技术部,是,上海维修费报销（第645笔）
100646,2026-10-15,差旅费,886.02,财务部,否,杭州培训费报销（第646笔）
100647,2026-11-22,通讯费,887.39,技术部,否,北京维修费报销（第647笔）
100648,2026-12-01,差旅费,888.76,技术部,是,西安招待费报销（第648笔）
100649,2026-01-08,维修费,890.13,技术部,否,武汉差旅费报销（第649笔）
100650,2026-02-15,办公用品,891.50,技术部,否,
100651,2026-03-22,快递费,892.87,技术部,是,上海办公用品报销（第651笔）
100652,2026-04-01,维修费,894.24,财务部,否,深圳维修费报销（第652笔）
100653,2026-05-08,通讯费,895.61,技术部,否,西安通讯费报销（第653笔）
100654,2026-06-15,差旅费,896.98,市场部,是,成都快递费报销（第654笔）
100655,2026-07-22,差旅费,898.35,行政部,否,深圳维修费报销（第655笔）
100656,2026-08-01,快递费,899.72,销售部,否,杭州招待费报销（第656笔）
100657,2026-09-08,招待费,901.09,市场部,是,北京差旅费报销（第657笔）
100658,2026-10-15,办公用品,902.46,财务部,否,上海快递费报销（第658笔）
100659,2026-11-22,维修费,903.83,销售部,否,成都通讯费报销（第659笔）
100660,2026-12-01,通讯费,905.20,销售部,是,杭州快递费报销（第660笔）
100661,2026-01-08,维修费,906.57,财务部,否,深圳交通费报销（第661笔）
100662,2026-02-15,培训费,907.94,市场部,否,西安维修费报销（第662笔）
100663,2026-03-22,办公用品,909.31,销售部,是,北京招待费报销（第663笔）
100664,2026-04-01,培训费,910.68,行政部,否,北京交通费报销（第664笔）
100665,2026-05-08,办公用品,912.05,市场部,否,西安招待费报销（第665笔）
100666,2026-06-15,快递费,913.42,财务部,是,上海办公用品报销（第666笔）
100667,2026-07-22,办公用品,914.79,财务部,否,深圳差旅费报销（第667笔）
100668,2026-08-01,快递费,916.16,技术部,否,北京交通费报销（第668笔）
100669,2026-09-08,交通费,917.53,财务部,是,深圳快递费报销（第669笔）
100670,2026-10-15,维修费,918.90,市场部,否,杭州通讯费报销（第670笔）
100671,2026-11-22,差旅费,920.27,财务部,否,成都差旅费报销（第671笔）
100672,2026-12-01,办公用品,921.64,行政部,是,成都交通费报销（第672笔）
100673,2026-01-08,快递费,923.01,行政部,否,成都办公用品报销（第673笔）
100674,2026-02-15,办公用品,924.38,销售部,否,成都快递费报销（第674笔）
100675,2026-03-22,交通费,925.75,财务部,是,武汉交通费报销（第675笔）
100676,2026-04-01,差旅费,927.12,销售部,否,上海通讯费报销（第676笔）
100677,2026-05-08,招待费,928.49,市场部,否,深圳培训费报销（第677笔）
100678,2026-06-15,通讯费,929.86,财务部,是,成都维修费报销（第678笔）
100679,2026-07-22,交通费,931.23,财务部,否,武汉办公用品报销（第679笔）
100680,2026-08-01,办公用品,932.60,销售部,否,成都维修费报销（第680笔）
100681,2026-09-08,维修费,933.97,行政部,是,成都差旅费报销（第681笔）
100682,2026-10-15,维修费,935.34,技术部,否,上海快递费报销（第682笔）
100683,2026-11-22,差旅费,936.71,行政部,否,武汉交通费报销（第683笔）
100684,2026-12-01,通讯费,938.08,技术部,是,杭州差旅费报销（第684笔）
100685,2026-01-08,通讯费,939.45,行政部,否,北京培训费报销（第685笔）
100686,2026-02-15,快递费,940.82,行政部,否,武汉维修费报销（第686笔）
100687,2026-03-22,招待费,942.19,行政部,是,西安办公用品报销（第687笔）
100688,2026-04-01,快递费,943.56,财务部,否,北京差旅费报销（第688笔）
100689,2026-05-08,招待费,944.93,销售部,否,上海招待费报销（第689笔）
100690,2026-06-15,培训费,946.30,技术部,是,杭州办公用品报销（第690笔）
100691,2026-07-22,快递费,947.67,行政部,否,北京差旅费报销（第691笔）
100692,2026-08-01,招待费,949.04,市场部,否,西安办公用品报销（第692笔）
100693,2026-09-08,培训费,950.41,财务部,是,上海办公用品报销（第693笔）
100694,2026-10-15,培训费,951.78,行政部,否,深圳快递费报销（第694笔）
100695,2026-11-22,培训费,953.15,财务部,否,武汉快递费报销（第695笔）
100696,2026-12-01,差旅费,954.52,财务部,是,上海交通费报销（第696笔）
100697,2026-01-08,招待费,955.89,销售部,否,北京维修费报销（第697笔）
100698,2026-02-15,快递费,957.26,销售部,否,深圳培训费报销（第698笔）
100699,2026-03-22,招待费,958.63,市场部,是,北京办公用品报销（第699笔）
100700,2026-04-01,维修费,960.00,销售部,否,
100701,2026-05-08,快递费,961.37,销售部,否,北京维修费报销（第701笔）
100702,2026-06-15,办公用品,962.74,市场部,是,北京快递费报销（第702笔）
100703,2026-07-22,维修费,964.11,销售部,否,武汉差旅费报销（第703笔）
100704,2026-08-01,招待费,965.48,市场部,否,深圳招待费报销（第704笔）
100705,2026-09-08,通讯费,966.85,市场部,是,上海招待费报销（第705笔）
100706,2026-10-15,办公用品,968.22,技术部,否,武汉维修费报销（第706笔）
100707,2026-11-22,通讯费,969.59,技术部,否,北京培训费报销（第707笔）
100708,2026-12-01,差旅费,970.96,销售部,是,西安招待费报销（第708笔）
100709,2026-01-08,快递费,972.33,行政部,否,北京培训费报销（第709笔）
100710,2026-02-15,招待费,973.70,财务部,否,上海快递费报销（第710笔）
100711,2026-03-22,通讯费,975.07,行政部,是,上海差旅费报销（第711笔）
100712,2026-04-01,培训费,976.44,销售部,否,西安通讯费报销（第712笔）
100713,2026-05-08,快递费,977.81,技术部,否,北京交通费报销（第713笔）
100714,2026-06-15,招待费,979.18,行政部,是,成都办公用品报销（第714笔）
100715,2026-07-22,招待费,980.55,财务部,否,武汉维修费报销（第715笔）
100716,2026-08-01,招待费,981.92,市场部,否,武汉快递费报销（第716笔）
100717,2026-09-08,快递费,983.29,市场部,是,上海差旅费报销（第717笔）
100718,2026-10-15,招待费,984.66,行政部,否,上海快递费报销（第718笔）
